Date,"EUR/USD(Open, Ask)","EUR/USD(High, Ask)","EUR/USD(Low, Ask)","EUR/USD(Close, Ask)","EUR/USD(Open, Bid)*","EUR/USD(High, Bid)*","EUR/USD(Low, Bid)*","EUR/USD(Close, Bid)*"
09/06/2016 23:49:00,1.12539,1.12540,1.12533,1.12537,1.12535,1.12536,1.12529,1.12534
09/06/2016 23:48:00,1.12542,1.12544,1.12536,1.12539,1.12539,1.12540,1.12532,1.12535
09/06/2016 23:47:00,1.12549,1.12549,1.12542,1.12542,1.12546,1.12547,1.12539,1.12539
09/06/2016 23:46:00,1.12553,1.12553,1.12548,1.12549,1.12550,1.12550,1.12544,1.12546
09/06/2016 23:45:00,1.12548,1.12558,1.12548,1.12553,1.12544,1.12555,1.12544,1.12550
09/06/2016 23:44:00,1.12531,1.12548,1.12531,1.12548,1.12528,1.12544,1.12528,1.12544
09/06/2016 23:43:00,1.12542,1.12548,1.12529,1.12531,1.12539,1.12545,1.12525,1.12528
09/06/2016 23:42:00,1.12543,1.12544,1.12536,1.12542,1.12539,1.12541,1.12532,1.12539
09/06/2016 23:41:00,1.12536,1.12547,1.12535,1.12543,1.12534,1.12543,1.12532,1.12539
09/06/2016 23:40:00,1.12540,1.12541,1.12535,1.12536,1.12537,1.12537,1.12533,1.12534
09/06/2016 23:39:00,1.12536,1.12541,1.12535,1.12540,1.12534,1.12537,1.12532,1.12537
09/06/2016 23:38:00,1.12537,1.12547,1.12536,1.12536,1.12535,1.12544,1.12533,1.12534
09/06/2016 23:37:00,1.12551,1.12552,1.12536,1.12537,1.12547,1.12548,1.12533,1.12535
09/06/2016 23:36:00,1.12556,1.12557,1.12551,1.12551,1.12554,1.12555,1.12547,1.12547
09/06/2016 23:35:00,1.12554,1.12558,1.12553,1.12556,1.12551,1.12555,1.12549,1.12554
09/06/2016 23:34:00,1.12546,1.12554,1.12546,1.12554,1.12543,1.12551,1.12543,1.12551
09/06/2016 23:33:00,1.12546,1.12548,1.12546,1.12546,1.12543,1.12544,1.12542,1.12543
09/06/2016 23:32:00,1.12557,1.12557,1.12545,1.12546,1.12553,1.12553,1.12542,1.12543
09/06/2016 23:31:00,1.12562,1.12562,1.12552,1.12557,1.12558,1.12558,1.12548,1.12553
09/06/2016 23:30:00,1.12559,1.12562,1.12558,1.12562,1.12557,1.12560,1.12554,1.12558
09/06/2016 23:29:00,1.12556,1.12559,1.12556,1.12559,1.12553,1.12557,1.12553,1.12557
09/06/2016 23:28:00,1.12564,1.12564,1.12551,1.12556,1.12560,1.12560,1.12549,1.12553
09/06/2016 23:27:00,1.12559,1.12567,1.12558,1.12564,1.12555,1.12563,1.12554,1.12560
09/06/2016 23:26:00,1.12569,1.12570,1.12559,1.12559,1.12566,1.12566,1.12555,1.12555
