Date,"USD/CHF(Open, Ask)","USD/CHF(High, Ask)","USD/CHF(Low, Ask)","USD/CHF(Close, Ask)","USD/CHF(Open, Bid)*","USD/CHF(High, Bid)*","USD/CHF(Low, Bid)*","USD/CHF(Close, Bid)*"
09/06/2016 23:51:00,0.96892,0.96892,0.96887,0.96887,0.96886,0.96886,0.96880,0.96881
09/06/2016 23:50:00,0.96910,0.96911,0.96892,0.96892,0.96903,0.96903,0.96886,0.96886
09/06/2016 23:49:00,0.96911,0.96915,0.96910,0.96910,0.96903,0.96908,0.96903,0.96903
09/06/2016 23:48:00,0.96906,0.96913,0.96906,0.96911,0.96899,0.96905,0.96899,0.96903
09/06/2016 23:47:00,0.96899,0.96908,0.96896,0.96906,0.96892,0.96899,0.96891,0.96899
09/06/2016 23:46:00,0.96900,0.96901,0.96891,0.96899,0.96893,0.96895,0.96887,0.96892
09/06/2016 23:45:00,0.96903,0.96904,0.96900,0.96900,0.96896,0.96896,0.96893,0.96893
09/06/2016 23:44:00,0.96913,0.96913,0.96903,0.96903,0.96907,0.96907,0.96895,0.96896
09/06/2016 23:43:00,0.96908,0.96915,0.96904,0.96913,0.96902,0.96909,0.96896,0.96907
09/06/2016 23:42:00,0.96909,0.96912,0.96907,0.96908,0.96901,0.96905,0.96901,0.96902
09/06/2016 23:41:00,0.96912,0.96912,0.96909,0.96909,0.96906,0.96906,0.96901,0.96901
09/06/2016 23:40:00,0.96910,0.96913,0.96910,0.96912,0.96904,0.96906,0.96903,0.96906
09/06/2016 23:39:00,0.96912,0.96913,0.96910,0.96910,0.96904,0.96905,0.96903,0.96904
09/06/2016 23:38:00,0.96906,0.96913,0.96901,0.96912,0.96901,0.96906,0.96895,0.96904
09/06/2016 23:37:00,0.96900,0.96906,0.96900,0.96906,0.96893,0.96901,0.96892,0.96901
09/06/2016 23:36:00,0.96899,0.96900,0.96898,0.96900,0.96893,0.96893,0.96891,0.96893
09/06/2016 23:35:00,0.96898,0.96899,0.96894,0.96899,0.96891,0.96893,0.96889,0.96893
09/06/2016 23:34:00,0.96902,0.96903,0.96897,0.96898,0.96895,0.96895,0.96891,0.96891
09/06/2016 23:32:00,0.96898,0.96903,0.96898,0.96902,0.96892,0.96895,0.96892,0.96895
09/06/2016 23:31:00,0.96893,0.96900,0.96893,0.96898,0.96886,0.96893,0.96886,0.96892
09/06/2016 23:30:00,0.96895,0.96895,0.96892,0.96893,0.96887,0.96887,0.96884,0.96886
09/06/2016 23:29:00,0.96897,0.96898,0.96895,0.96895,0.96891,0.96892,0.96887,0.96887
09/06/2016 23:28:00,0.96894,0.96901,0.96894,0.96897,0.96886,0.96893,0.96886,0.96891
09/06/2016 23:27:00,0.96893,0.96899,0.96892,0.96894,0.96887,0.96892,0.96885,0.96886
09/06/2016 23:26:00,0.96884,0.96893,0.96884,0.96893,0.96879,0.96887,0.96877,0.96887
09/06/2016 23:25:00,0.96882,0.96885,0.96878,0.96884,0.96875,0.96879,0.96872,0.96879
09/06/2016 23:24:00,0.96881,0.96882,0.96880,0.96882,0.96875,0.96876,0.96875,0.96875
09/06/2016 23:23:00,0.96879,0.96882,0.96879,0.96881,0.96873,0.96875,0.96872,0.96875
09/06/2016 23:22:00,0.96883,0.96887,0.96879,0.96879,0.96876,0.96880,0.96873,0.96873
09/06/2016 23:21:00,0.96891,0.96892,0.96882,0.96883,0.96884,0.96885,0.96875,0.96876
09/06/2016 23:20:00,0.96892,0.96894,0.96890,0.96891,0.96885,0.96887,0.96884,0.96884
09/06/2016 23:19:00,0.96894,0.96895,0.96892,0.96892,0.96888,0.96889,0.96885,0.96885
09/06/2016 23:18:00,0.96899,0.96899,0.96894,0.96894,0.96891,0.96893,0.96888,0.96888
09/06/2016 23:17:00,0.96900,0.96901,0.96898,0.96899,0.96894,0.96895,0.96891,0.96891
09/06/2016 23:16:00,0.96904,0.96904,0.96899,0.96900,0.96897,0.96899,0.96893,0.96894
09/06/2016 23:15:00,0.96899,0.96906,0.96899,0.96904,0.96892,0.96902,0.96891,0.96897
09/06/2016 23:14:00,0.96898,0.96902,0.96898,0.96899,0.96892,0.96894,0.96891,0.96892
09/06/2016 23:13:00,0.96899,0.96899,0.96895,0.96898,0.96893,0.96893,0.96889,0.96892
09/06/2016 23:12:00,0.96894,0.96903,0.96891,0.96899,0.96889,0.96895,0.96885,0.96893
09/06/2016 23:11:00,0.96898,0.96903,0.96892,0.96894,0.96893,0.96898,0.96886,0.96889
09/06/2016 23:10:00,0.96887,0.96904,0.96886,0.96898,0.96881,0.96900,0.96881,0.96893
09/06/2016 23:09:00,0.96881,0.96895,0.96881,0.96887,0.96875,0.96889,0.96875,0.96881
09/06/2016 23:08:00,0.96902,0.96902,0.96879,0.96881,0.96896,0.96896,0.96875,0.96875
09/06/2016 23:07:00,0.96909,0.96909,0.96902,0.96902,0.96905,0.96905,0.96896,0.96896
09/06/2016 23:06:00,0.96908,0.96912,0.96907,0.96909,0.96903,0.96908,0.96902,0.96905
09/06/2016 23:05:00,0.96902,0.96908,0.96902,0.96908,0.96899,0.96904,0.96899,0.96903
09/06/2016 23:04:00,0.96909,0.96909,0.96902,0.96902,0.96904,0.96904,0.96899,0.96899
09/06/2016 23:03:00,0.96902,0.96909,0.96902,0.96909,0.96899,0.96904,0.96899,0.96904
09/06/2016 23:02:00,0.96941,0.96942,0.96902,0.96902,0.96933,0.96935,0.96899,0.96899
09/06/2016 23:01:00,0.96943,0.96944,0.96941,0.96941,0.96936,0.96937,0.96933,0.96933
09/06/2016 23:00:00,0.96947,0.96949,0.96943,0.96943,0.96942,0.96942,0.96935,0.96936
09/06/2016 22:59:00,0.96942,0.96947,0.96942,0.96947,0.96936,0.96942,0.96935,0.96942
09/06/2016 22:58:00,0.96945,0.96949,0.96941,0.96942,0.96939,0.96943,0.96934,0.96936
09/06/2016 22:57:00,0.96945,0.96945,0.96941,0.96945,0.96939,0.96939,0.96935,0.96939
09/06/2016 22:56:00,0.96954,0.96954,0.96943,0.96945,0.96948,0.96948,0.96937,0.96939
09/06/2016 22:55:00,0.96946,0.96955,0.96946,0.96954,0.96941,0.96950,0.96941,0.96948
09/06/2016 22:54:00,0.96941,0.96946,0.96937,0.96946,0.96934,0.96941,0.96931,0.96941
09/06/2016 22:53:00,0.96951,0.96951,0.96939,0.96941,0.96945,0.96946,0.96934,0.96934
09/06/2016 22:52:00,0.96951,0.96951,0.96949,0.96951,0.96945,0.96945,0.96943,0.96945
09/06/2016 22:50:00,0.96949,0.96951,0.96948,0.96951,0.96944,0.96947,0.96941,0.96945
09/06/2016 22:49:00,0.96943,0.96949,0.96941,0.96949,0.96938,0.96944,0.96936,0.96944
09/06/2016 22:48:00,0.96944,0.96944,0.96932,0.96943,0.96937,0.96939,0.96928,0.96938
